conc0,conc1,ci,ci_err,conc0_inv,conc1_inv,cv_exp,cv_err,cv_theor,gen,number
0.175103823,0.720436348,0.031823596,0.032661655,22.39791778,16.80663957,0.932495937,0.032661655,0.944398473,2,7
0.672301156,0.095236721,-0.061805516,0.028402216,221.1069083,0.026692322,0.4212163,0.028402216,0.525830112,2,8
0.921383792,0.297253704,0.050442511,0.068472444,696.2538089,0.21421056,0.364284021,0.068472444,0.379624655,2,9
0.794761777,0.055088643,0.094416316,0.130028959,388.6185741,0.017645685,0.473876218,0.130028959,0.432501893,2,10
0.473348339,0.112187558,-0.196718401,0.108253558,88.4497639,0.031789032,0.504445512,0.108253558,0.744008118,3,1
0.532818556,0.446009576,-0.232773737,0.01685896,116.3153715,0.992747844,0.403296705,0.01685896,0.67725709,3,2
0.217233688,0.582599223,-0.027694603,0.083726079,27.19364201,4.058516952,0.861039735,0.083726079,0.930944515,3,3
0.279403416,0.225902395,-0.037581179,0.052717778,36.20819137,0.102657909,0.82137854,0.052717778,0.902822092,3,4
0.424937531,0.215732955,-0.115279712,0.123109649,70.77421516,0.092440566,0.634366699,0.123109649,0.793749025,3,5
0.689331799,0.287085234,0.011537866,0.126934058,239.1462626,0.192892527,0.477831454,0.126934058,0.510114902,3,6
0.294079604,0.59745551,-0.123735623,0.071099625,38.73996357,4.730213711,0.726654974,0.071099625,0.894701395,3,7
0.248668497,0.543312427,-0.145385249,0.120130915,31.4294654,2.706921209,0.72943122,0.120130915,0.917922969,3,8
0.360592222,0.450828751,-0.187916392,0.079640742,52.62407123,1.043313876,0.617207641,0.079640742,0.849953038,3,9
0.37694183,0.558959782,-0.221579938,0.070512027,56.73925904,3.180758677,0.570460873,0.070512027,0.836859519,3,10
0.550167918,0.467697263,-0.223471426,0.045725726,125.9899305,1.24147322,0.568569385,0.045725726,0.657297993356274 0.6966443970099095 0.7292294246943655 0.6234091072948126 0.6171022825803036 0.6307123337263434 0.666979870445637 0.6621768849699953 0.5795758420489611 0.643146255194698,4,1
0.515879858,0.509359599,-0.101445664,0.142898195,107.58698,1.907500625,0.553577656,0.142898195,0.696644397,4,2
0.486872613,0.485477179,-0.165631677,0.063623989,94.13372114,1.491214775,0.521147649,0.063623989,0.729229425,4,3
0.57978521,0.513350445,-0.03989592,0.108022804,144.4010729,1.987614648,0.542983636,0.108022804,0.623409107,4,4
0.5853621,0.458964051,-0.048099275,0.09110304,148.1576909,1.134586751,0.528492926,0.09110304,0.617102283,4,5
0.573360741,0.413882256,-0.103338462,0.074587665,140.1914353,0.712854743,0.48682165,0.074587665,0.630712334,4,6
0.541755108,0.471680265,-0.087817883,0.093079034,121.2021202,1.293509853,0.538166535,0.093079034,0.66697987,4,7
0.545928359,0.433645815,-0.214465919,0.065266392,123.5539738,0.873946593,0.406799335,0.065266392,0.662176885,4,8
0.619354308,0.497751355,0.011967991,0.126463888,173.2641113,1.692361636,0.550704396,0.126463888,0.579575842,4,9
0.562485263,0.48343003,-0.127321025,0.077015796,133.3430934,1.46007398,0.47516592,0.077015796,0.643146255,4,10
